cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
,,,,28/05/2021,FUERTEVENTURA,Betancuria,773
,4.0,,4.0,28/05/2021,LA PALMA,Garafía,1730
,1.0,,1.0,28/05/2021,LA GOMERA,Hermigua,1775
1.0,43.0,,41.0,28/05/2021,LA PALMA,Tazacorte,4601
,,,,28/05/2021,LA GOMERA,Agulo,1110
,4.0,,4.0,08/06/2021,TENERIFE,Garachico,4871
98.0,3701.0,39.0,3749.0,08/06/2021,LANZAROTE,Arrecife,62988
7.0,208.0,2.0,196.0,08/06/2021,TENERIFE,La Orotava,42029
1.0,27.0,1.0,24.0,08/06/2021,TENERIFE,La Matanza de Acentejo,9061
2.0,22.0,1.0,23.0,08/06/2021,TENERIFE,Santiago del Teide,11111
,17.0,,17.0,08/06/2021,TENERIFE,San juan de La Rambla,4828
2.0,107.0,1.0,105.0,08/06/2021,LANZAROTE,Tías,20170
,21.0,,12.0,08/06/2021,TENERIFE,Arico,7988
1.0,2.0,,3.0,08/06/2021,LA GOMERA,Valle Gran Rey,4564
2.0,59.0,,55.0,08/06/2021,GRAN CANARIA,Mogán,20072
,13.0,,13.0,08/06/2021,GRAN CANARIA,Vega de San Mateo,7556
,4.0,,4.0,08/06/2021,FUERTEVENTURA,Antigua,12461
7.0,231.0,,212.0,08/06/2021,TENERIFE,Los Realejos,36402
1.0,34.0,,35.0,08/06/2021,LANZAROTE,San Bartolomé,18816
,4.0,,4.0,08/06/2021,LA PALMA,Tijarafe,2532
4.0,86.0,2.0,83.0,08/06/2021,TENERIFE,Icod de Los Vinos,23254
5.0,44.0,,45.0,08/06/2021,LANZAROTE,Yaiza,16571
2.0,99.0,1.0,92.0,08/06/2021,LA PALMA,Los Llanos de Aridane,20467
1.0,100.0,,98.0,08/06/2021,GRAN CANARIA,Ingenio,31321
324.0,,123.0,10905.0,08/06/2021,GRAN CANARIA,Las Palmas de Gran Canaria,379925
,6.0,1.0,7.0,08/06/2021,LA GOMERA,Alajeró,2017
3.0,28.0,,30.0,08/06/2021,LA PALMA,Santa Cruz de La Palma,15716
1.0,11.0,,11.0,08/06/2021,LA PALMA,Breña Baja,5690
2.0,12.0,,14.0,08/06/2021,GRAN CANARIA,Agaete,5586
3.0,60.0,1.0,60.0,08/06/2021,GRAN CANARIA,Agüimes,31619
2.0,56.0,,52.0,08/06/2021,TENERIFE,El Sauzal,8934
,10.0,,10.0,08/06/2021,LANZAROTE,Haría,5123
,3.0,,2.0,08/06/2021,EL HIERRO,El Pinar,1870
2.0,11.0,,12.0,08/06/2021,TENERIFE,El Tanque,2763
2.0,72.0,,71.0,08/06/2021,GRAN CANARIA,Arucas,38138
,285.0,3.0,279.0,08/06/2021,EL HIERRO,Valverde,5005
14.0,86.0,,100.0,08/06/2021,FUERTEVENTURA,Tuineje,15241
,13.0,,10.0,08/06/2021,TENERIFE,Fasnia,2786
1.0,30.0,,28.0,08/06/2021,TENERIFE,Tegueste,11294
41.0,427.0,,416.0,08/06/2021,TENERIFE,Adeje,47869
,35.0,1.0,35.0,08/06/2021,GRAN CANARIA,Gáldar,24242
