fecha_datos,cv19_activos,isla,municipio,poblacion,cv19_total_casos,cv19_fallecidos,cv19_curados
10/05/2021,,TENERIFE,La Laguna,158911,,,
11/05/2021,,TENERIFE,La Laguna,158911,,,
12/05/2021,,TENERIFE,La Laguna,158911,,,
13/05/2021,,TENERIFE,La Laguna,158911,,,
14/10/2020,6,LA PALMA,LA PALMA - ALL,82671,,,
27/10/2020,5,LA PALMA,LA PALMA - ALL,82671,,,
28/10/2020,1,LA PALMA,LA PALMA - ALL,82671,,,
29/10/2020,2,LA PALMA,LA PALMA - ALL,82671,,,
30/10/2020,3,LA PALMA,LA PALMA - ALL,82671,,,
31/10/2020,,LA PALMA,LA PALMA - ALL,82671,,,
01/11/2020,3,LA PALMA,LA PALMA - ALL,82671,,,
02/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
03/11/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
04/11/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
05/11/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
06/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
07/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
08/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
09/11/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
10/11/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
11/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
12/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
13/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
14/11/2020,5,LA PALMA,LA PALMA - ALL,82671,,,
15/11/2020,5,LA PALMA,LA PALMA - ALL,82671,,,
16/11/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
17/11/2020,9,LA PALMA,LA PALMA - ALL,82671,,,
18/11/2020,8,LA PALMA,LA PALMA - ALL,82671,,,
19/11/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
20/11/2020,10,LA PALMA,LA PALMA - ALL,82671,,,
21/11/2020,11,LA PALMA,LA PALMA - ALL,82671,,,
22/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
23/11/2020,11,LA PALMA,LA PALMA - ALL,82671,,,
24/11/2020,10,LA PALMA,LA PALMA - ALL,82671,,,
25/11/2020,13,LA PALMA,LA PALMA - ALL,82671,,,
26/11/2020,,LA PALMA,LA PALMA - ALL,82671,,,
27/11/2020,9,LA PALMA,LA PALMA - ALL,82671,,,
28/11/2020,9,LA PALMA,LA PALMA - ALL,82671,,,
29/11/2020,9,LA PALMA,LA PALMA - ALL,82671,,,
30/11/2020,9,LA PALMA,LA PALMA - ALL,82671,,,
01/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
02/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
03/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
04/12/2020,,LA PALMA,LA PALMA - ALL,82671,,,
05/12/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
06/12/2020,,LA PALMA,LA PALMA - ALL,82671,,,
07/12/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
08/12/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
09/12/2020,4,LA PALMA,LA PALMA - ALL,82671,,,
10/12/2020,,LA PALMA,LA PALMA - ALL,82671,,,
11/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
12/12/2020,,LA PALMA,LA PALMA - ALL,82671,,,
13/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
14/12/2020,7,LA PALMA,LA PALMA - ALL,82671,,,
15/12/2020,31,LA PALMA,LA PALMA - ALL,82671,,,
16/12/2020,34,LA PALMA,LA PALMA - ALL,82671,,,
17/12/2020,34,LA PALMA,LA PALMA - ALL,82671,,,
18/12/2020,35,LA PALMA,LA PALMA - ALL,82671,,,
19/12/2020,,LA PALMA,LA PALMA - ALL,82671,,,
20/12/2020,35,LA PALMA,LA PALMA - ALL,82671,,,
21/12/2020,35,LA PALMA,LA PALMA - ALL,82671,,,
22/12/2020,36,LA PALMA,LA PALMA - ALL,82671,,,
23/12/2020,35,LA PALMA,LA PALMA - ALL,82671,,,
24/12/2020,41,LA PALMA,LA PALMA - ALL,82671,,,
25/12/2020,37,LA PALMA,LA PALMA - ALL,82671,,,
26/12/2020,37,LA PALMA,LA PALMA - ALL,82671,,,
27/12/2020,37,LA PALMA,LA PALMA - ALL,82671,,,
28/12/2020,37,LA PALMA,LA PALMA - ALL,82671,,,
29/12/2020,54,LA PALMA,LA PALMA - ALL,82671,,,
30/12/2020,42,LA PALMA,LA PALMA - ALL,82671,,,
31/12/2020,40,LA PALMA,LA PALMA - ALL,82671,,,
01/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
02/01/2021,40,LA PALMA,LA PALMA - ALL,82671,,,
03/01/2021,40,LA PALMA,LA PALMA - ALL,82671,,,
04/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
05/01/2021,40,LA PALMA,LA PALMA - ALL,82671,,,
06/01/2021,,LA PALMA,LA PALMA - ALL,82671,,,
07/01/2021,39,LA PALMA,LA PALMA - ALL,82671,,,
08/01/2021,42,LA PALMA,LA PALMA - ALL,82671,,,
09/01/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
10/01/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
11/01/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
12/01/2021,34,LA PALMA,LA PALMA - ALL,82671,,,
13/01/2021,32,LA PALMA,LA PALMA - ALL,82671,,,
14/01/2021,27,LA PALMA,LA PALMA - ALL,82671,,,
15/01/2021,17,LA PALMA,LA PALMA - ALL,82671,,,
